t1, t2
1646907374083682, 1646907374083716, 34
1646907374083716, 1646907374083750, 34
1646907374083750, 1646907374083783, 33
1646907374083783, 1646907374083817, 34
1646907374083817, 1646907374083851, 34
1646907374083851, 1646907374083885, 34
1646907374083885, 1646907374083918, 33
1646907374083918, 1646907374083952, 34
1646907374083953, 1646907374083986, 33
1646907374083986, 1646907374084020, 34
1646907374084020, 1646907374084054, 34
1646907374084054, 1646907374084087, 33
1646907374084087, 1646907374084123, 36
1646907374084123, 1646907374084159, 36
1646907374084159, 1646907374084197, 38
1646907374084197, 1646907374084234, 37
1646907374084234, 1646907374084270, 36
1646907374084270, 1646907374084321, 51
1646907374084321, 1646907374084351, 30
1646907374084351, 1646907374084380, 29
1646907374084380, 1646907374084408, 28
1646907374084408, 1646907374084436, 28
1646907374084437, 1646907374084465, 28
1646907374084465, 1646907374084492, 27
1646907374084492, 1646907374084520, 28
1646907374084520, 1646907374084548, 28
1646907374084548, 1646907374084576, 28
1646907374084576, 1646907374084603, 27
1646907374084603, 1646907374084631, 28
1646907374084631, 1646907374084658, 27
1646907374084658, 1646907374084686, 28
1646907374084686, 1646907374084715, 29
1646907374084715, 1646907374084745, 30
1646907374084745, 1646907374084776, 31
1646907374084776, 1646907374084805, 29
1646907374084805, 1646907374084834, 29
1646907374084834, 1646907374084862, 28
1646907374084862, 1646907374084890, 28
1646907374084890, 1646907374084917, 27
1646907374084917, 1646907374084945, 28
1646907374084945, 1646907374084972, 27
1646907374084972, 1646907374085000, 28
1646907374085000, 1646907374085028, 28
1646907374085028, 1646907374085055, 27
1646907374085055, 1646907374085083, 28
1646907374085083, 1646907374085111, 28
1646907374085111, 1646907374085138, 27
1646907374085138, 1646907374085166, 28
1646907374085166, 1646907374085194, 28
1646907374085194, 1646907374085222, 28
1646907374085222, 1646907374085249, 27
1646907374085249, 1646907374085277, 28
1646907374085277, 1646907374085305, 28
1646907374085305, 1646907374085336, 31
1646907374085336, 1646907374085363, 27
1646907374085363, 1646907374085391, 28
1646907374085391, 1646907374085419, 28
1646907374085419, 1646907374085446, 27
1646907374085447, 1646907374085474, 27
1646907374085474, 1646907374085502, 28
1646907374085502, 1646907374085529, 27
1646907374085529, 1646907374085557, 28
1646907374085557, 1646907374085584, 27
1646907374085585, 1646907374085612, 27
1646907374085612, 1646907374085640, 28
1646907374085640, 1646907374085667, 27
1646907374085667, 1646907374085695, 28
1646907374085695, 1646907374085723, 28
1646907374085723, 1646907374085751, 28
1646907374085751, 1646907374085779, 28
1646907374085779, 1646907374085806, 27
1646907374085806, 1646907374085834, 28
1646907374085834, 1646907374085861, 27
1646907374085861, 1646907374085889, 28
1646907374085889, 1646907374085917, 28
1646907374085917, 1646907374085944, 27
1646907374085944, 1646907374085972, 28
1646907374085972, 1646907374085999, 27
1646907374085999, 1646907374086026, 27
1646907374086026, 1646907374086054, 28
1646907374086054, 1646907374086082, 28
1646907374086082, 1646907374086109, 27
1646907374086109, 1646907374086137, 28
1646907374086137, 1646907374086165, 28
1646907374086165, 1646907374086194, 29
1646907374086194, 1646907374086225, 31
1646907374086225, 1646907374086255, 30
1646907374086255, 1646907374086285, 30
1646907374086285, 1646907374086312, 27
1646907374086312, 1646907374086340, 28
1646907374086340, 1646907374086368, 28
